,Incident year,Number of Dead,Lat,Long
176,2015,1.0,31.5815, -111.77556
177,2015,1.0,31.85521, -112.17821
178,2015,1.0,31.81461, -111.85829
179,2015,1.0,26.0379097, -98.086004
180,2015,1.0,27.469219, -99.549636
181,2015,1.0,27.4688428, -99.557493
182,2015,1.0,31.849017, -112.64445
183,2015,1.0,32.8216, -112.41698
184,2015,1.0,25.9590963, -97.296038
185,2015,1.0,31.9325, -110.462667
186,2015,1.0,32.668685, -115.493137
187,2015,1.0,28.13171934, -100.181156
188,2015,1.0,31.859417, -112.709806
189,2015,1.0,31.9201, -111.309167
190,2015,1.0,32.622703, -111.861717
191,2015,8.0,29.0854346, -99.549636
192,2015,,27.469219, -99.549636
193,2015,1.0,31.656983, -111.952283
194,2015,1.0,31.352167, -110.89
195,2015,1.0,31.7126, -111.75883
196,2015,1.0,31.8576, -112.7048
197,2015,1.0,32.027833, -112.469667
198,2015,1.0,32.06, -112.44
199,2015,1.0,31.820278, -111.064111
200,2015,1.0,32.33752, -112.38222
201,2015,1.0,31.975633, -112.137383
202,2015,1.0,31.36045, -109.053383
203,2015,1.0,32.276183, -112.860316
204,2015,1.0,31.4, -109.136767
205,2015,1.0,31.40105, -110.73266
206,2015,1.0,32.364767, -112.489183
207,2015,1.0,31.34122, -110.90572
208,2015,1.0,32.591521, -117.120962
209,2015,1.0,32.01571, -112.95846
210,2015,1.0,26.0379097, -98.086004
211,2015,1.0,32.25892, -113.08173
212,2015,1.0,32.668685, -115.493137
213,2015,1.0,32.67292759, -115.687354
214,2015,1.0,32.95853, -112.671173
215,2015,1.0,32.12359, -111.28911
216,2015,1.0,33.0249505, -115.845025
217,2015,1.0,31.6337, -112.01128
218,2015,1.0,31.62835, -111.75955
219,2015,1.0,31.59772, -111.89503
220,2015,1.0,32.92525, -112.80985
221,2015,1.0,32.172, -112.9105
222,2015,1.0,26.0342774, -98.331911
223,2015,1.0,32.05262, -112.47898
224,2015,1.0,32.10445, -112.881117
225,2015,1.0,32.187417, -112.812867
226,2015,1.0,32.866059, -112.762808
227,2015,1.0,31.9741, -112.88585
228,2015,3.0,28.7053102, -100.514148
229,2015,2.0,28.2597513, -100.245529
230,2015,1.0,32.6762497, -115.486683
231,2015,1.0,32.2658, -113.0729
232,2015,1.0,31.630183, -111.992767
233,2015,1.0,27.4954268, -99.514468
234,2015,1.0,32.065733, -111.600967
235,2015,1.0,31.845495, -110.61481
236,2015,1.0,31.46345, -110.98145
237,2015,1.0,31.899057, -110.250004
238,2015,1.0,31.99746, -111.82281
239,2015,1.0,32.23965, -111.45786
240,2015,1.0,26.2364105, -98.672701
241,2015,1.0,32.0634, -112.5644
242,2015,1.0,28.6779788, -100.521305
243,2015,1.0,32.6004, -111.738267
244,2015,1.0,31.5692, -111.774733
245,2015,1.0,32.106083, -111.5684
246,2015,1.0,32.924722, -111.907778
247,2015,1.0,20.3372222, -98.394444
248,2015,1.0,27.469219, -99.549636
249,2015,1.0,32.13628, -113.21833
250,2015,1.0,32.30612, -111.40797
251,2015,1.0,30.7108565, -103.237231
252,2015,1.0,26.1471614, -98.366997
253,2015,1.0,32.174, -113.24667
254,2015,1.0,32.1742, -113.24667
255,2015,1.0,32.174, -113.24647
256,2015,1.0,32.22039, -113.2139
257,2015,1.0,32.12775, -112.13793
258,2015,1.0,31.81318, -111.85296
259,2015,1.0,31.7989, -111.81445
260,2015,1.0,32.27515, -112.97308
261,2015,1.0,31.87648, -112.13971
262,2015,1.0,32.083833, -112.963333
263,2015,1.0,32.143167, -112.98095
264,2015,1.0,32.11476, -112.11556
265,2015,1.0,31.379722, -110.940833
266,2015,1.0,31.838633, -111.9506
267,2015,1.0,31.704274, -111.044576
268,2015,1.0,32.08267, -111.17659
269,2015,1.0,32.3609, -113.123
270,2015,1.0,32.347166, -113.116666
271,2015,1.0,31.54855, -111.73635
272,2015,1.0,31.715333, -111.949783
