Website Date,Number of Dead
2015-09-27,1.0
2015-09-27,1.0
2015-09-28,1.0
2015-09-29,1.0
2015-09-29,1.0
2015-10-07,1.0
2015-10-11,1.0
2015-10-12,1.0
2015-10-14,1.0
2015-10-14,1.0
2015-10-15,1.0
2015-10-16,1.0
2015-10-16,1.0
2015-10-18,1.0
2015-10-20,1.0
2015-10-21,1.0
2015-10-21,1.0
2015-10-21,1.0
2015-10-22,1.0
2015-10-29,1.0
2015-10-29,1.0
2015-11-03,1.0
2015-11-05,1.0
2015-11-06,1.0
2015-11-07,1.0
2015-11-08,1.0
2015-11-14,1.0
2015-11-16,1.0
2015-11-17,1.0
2015-11-17,1.0
2015-11-17,1.0
2015-11-17,1.0
2015-11-20,1.0
2015-11-21,1.0
2015-11-24,1.0
2015-11-24,1.0
2015-11-26,1.0
2015-11-28,2.0
2015-11-29,1.0
2015-12-01,1.0
2015-12-01,1.0
2015-12-03,1.0
2015-12-07,1.0
2015-12-09,1.0
2015-12-10,1.0
2015-12-24,1.0
2015-12-28,1.0
2015-12-29,1.0
2015-12-29,1.0
2015-12-29,1.0
2015-12-31,123.0
2015-01-16,1.0
2015-01-21,1.0
2015-01-29,1.0
2015-04-24,2.0
2015-06-07,1.0
2015-06-27,1.0
2015-07-02,1.0
2015-07-15,1.0
2015-08-04,1.0
2015-08-06,1.0
2015-09-27,1.0
2015-10-18,1.0
2016-01-05,1.0
2016-01-05,1.0
2016-01-08,4.0
2016-01-09,1.0
2016-01-13,1.0
2016-01-21,1.0
2016-01-25,1.0
2016-01-26,1.0
2016-01-26,1.0
2016-01-29,1.0
2016-01-31,1.0
2016-01-25,1.0
2016-02-09,11.0
2016-02-09,1.0
2016-02-18,4.0
2016-02-19,1.0
2016-02-21,1.0
2016-02-23,1.0
2016-02-25,1.0
2016-02-25,1.0
2016-02-28,1.0
2016-03-01,1.0
2016-03-03,1.0
2016-03-03,1.0
2016-03-06,1.0
2016-03-07,1.0
2016-03-07,1.0
2016-03-08,1.0
2016-03-14,1.0
2016-03-18,1.0
2016-03-19,1.0
2016-03-20,1.0
2016-03-20,1.0
2016-03-20,1.0
2016-03-20,1.0
2016-03-24,1.0
2016-03-26,1.0
2016-03-27,1.0
2016-03-28,2.0
2016-03-30,1.0
2016-04-01,1.0
2016-04-01,1.0
2016-04-05,1.0
2016-04-06,1.0
2016-04-07,1.0
2016-04-07,1.0
2016-04-08,1.0
2016-04-08,1.0
2016-04-12,1.0
2016-04-18,1.0
2016-04-21,1.0
2016-04-21,1.0
2016-04-23,1.0
2016-04-24,1.0
2016-04-29,1.0
2016-05-03,1.0
2016-05-03,1.0
2016-05-06,1.0
2016-05-11,1.0
2016-05-13,1.0
2016-05-13,1.0
2016-05-15,1.0
2016-05-15,1.0
2016-05-15,1.0
2016-05-18,1.0
2016-05-18,1.0
2016-05-22,1.0
2016-05-23,1.0
2016-05-25,1.0
2016-05-26,1.0
2016-05-27,1.0
2016-05-29,1.0
2016-05-30,1.0
2016-05-31,1.0
2016-05-31,1.0
2016-05-31,1.0
2016-06-01,1.0
2016-06-02,1.0
2016-06-02,1.0
2016-06-04,1.0
2016-06-06,1.0
2016-06-07,1.0
2016-06-07,1.0
2016-06-07,1.0
2016-06-07,1.0
2016-06-09,1.0
2016-06-09,1.0
2016-06-09,1.0
2016-06-09,1.0
2016-06-10,1.0
2016-06-10,1.0
2016-06-10,1.0
2016-06-10,1.0
2016-06-10,1.0
2016-06-13,1.0
2016-06-15,1.0
2016-06-15,1.0
2016-06-30,1.0
2016-06-15,3.0
2016-06-16,1.0
2016-06-16,1.0
2016-06-17,1.0
2016-06-19,1.0
2016-06-20,1.0
2016-06-22,1.0
2016-06-23,1.0
2016-06-23,1.0
2016-06-24,1.0
2016-06-25,1.0
2016-06-27,1.0
2016-06-30,1.0
2016-06-28,1.0
2016-06-29,1.0
2016-07-01,
2016-07-02,1.0
2016-07-04,1.0
2016-07-04,1.0
2016-07-05,1.0
2016-07-05,1.0
2016-07-06,1.0
2016-07-08,1.0
2016-07-08,1.0
2016-07-08,1.0
2016-07-09,1.0
2016-07-09,1.0
2016-07-10,1.0
2016-07-11,1.0
2016-07-11,1.0
2016-07-12,1.0
2016-07-13,1.0
2016-07-14,1.0
2016-07-15,1.0
2016-07-15,1.0
2016-07-15,28.0
2016-07-15,1.0
2016-07-16,1.0
2016-07-16,1.0
2016-07-16,1.0
2016-07-18,1.0
2016-07-19,1.0
2016-07-19,1.0
2016-07-19,1.0
2016-07-20,1.0
2016-07-21,1.0
2016-07-21,1.0
2016-07-21,1.0
2016-07-23,1.0
2016-07-24,1.0
2016-07-25,1.0
2016-07-26,1.0
2016-07-27,1.0
2016-07-27,1.0
2016-07-28,1.0
2016-07-29,1.0
2016-07-30,1.0
2016-07-31,1.0
2016-07-31,1.0
2016-08-01,1.0
2016-08-01,1.0
2016-08-01,1.0
2016-08-01,1.0
2016-08-04,1.0
2016-08-04,1.0
2016-08-06,1.0
2016-08-06,1.0
2016-08-06,1.0
2016-08-06,1.0
2016-08-07,1.0
2016-08-07,1.0
2016-08-08,1.0
2016-08-08,1.0
2016-08-08,1.0
2016-08-08,1.0
2016-08-08,1.0
2016-08-09,1.0
2016-08-10,1.0
2016-08-10,1.0
2016-08-13,1.0
2016-08-16,1.0
2016-08-21,1.0
2016-08-22,1.0
2016-08-23,1.0
